时间,2024年,2023年,GAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
计数项:事件描述,列标签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行标签,AACW01,AAFM01,AASH01,AASH02,ACLN01,ACVD01,ACVD01-B,ACVD01-C,ADET01,AEGN01,AICP01,AICP01-A,AICP01-B,AICP01-C,AICP01-D,ALIF01,AMTH01,APAC01,APRF01,APVD01,APVD01-A,APVD01-B,APVD01-C,APVD01-D,APVD01-E,AREL01,ASCR01,ASCR02,ASCR03,ASEM01,ASSW01,ASTR01,ATAP01,ATHK01,ATRM01,ATRM01-B,ATRM02,ATRM02-A,ATRM02-B,AWBG01,AWFM01,OM,AXRD01,总计
<01/01/2024,,,,,,,,,,,2,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,6
1月,4,5,10,,,6,1,8,,10,6,10,,8,11,10,2,,3,1,1,3,6,5,,3,,,,1,4,,,12,6,,5,4,5,1,,,2,153
2月,2,9,,,,,,2,,6,,6,,1,2,3,,,,,,,7,2,,,,,,,,,,,2,,,4,,3,,,,49
3月,1,,3,,,1,,1,,8,5,3,1,1,8,7,1,1,3,,,2,8,3,,2,,,,,2,,,3,,,2,9,,2,,,,77
4月,1,3,6,,,,1,3,,20,4,5,,2,6,7,1,1,1,1,,4,3,6,,1,1,1,,,2,,,,4,,,4,2,1,2,,,93
5月,7,6,8,,,3,1,3,,19,6,1,,1,1,13,2,,3,1,,,3,5,,2,,,,,5,,3,2,1,,3,9,1,,,,,109
6月,6,8,,,,3,5,8,,15,5,6,,1,5,28,5,1,3,3,,1,5,3,,2,1,1,,1,6,,,3,4,,8,4,4,4,1,,,150
7月,3,10,3,7,,6,4,10,1,22,6,14,,5,6,18,2,,9,7,,1,2,1,,7,1,,,,5,,,11,2,,4,1,1,1,,,,170
8月,2,5,6,6,1,14,3,6,,24,10,7,,7,15,34,1,,3,6,,1,4,2,,4,7,,,,6,1,1,3,5,2,2,1,2,3,1,,,195
9月,1,2,2,7,1,1,3,5,,25,4,14,,2,4,16,3,,7,2,1,,4,1,,4,,,,,5,1,2,,6,,5,2,3,5,2,,,140
10月,7,9,2,12,,,7,2,,24,1,13,1,8,4,14,3,,4,5,,1,4,13,,2,1,1,2,,2,,4,,1,,7,4,10,2,,,,170
11月,4,5,9,1,,2,6,7,2,15,7,9,1,8,4,23,2,,8,6,,3,6,5,1,3,1,,,,5,1,3,1,6,,6,4,14,3,,1,,182
12月,,3,4,1,,,,2,,18,1,8,2,2,,6,,,2,3,,,1,2,1,1,,,,,1,,,,,,3,2,1,,,,,64
总计,38,65,53,34,2,36,31,57,3,206,57,96,5,47,66,179,22,3,47,35,2,16,53,49,2,31,12,3,2,2,43,3,13,35,37,2,45,49,43,25,6,1,2,1558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间,ALIF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1月,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2月,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3月,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4月,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5月,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6月,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7月,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总计,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
